code,malepop,femalepop,totalpop,setai,inc_mov_dom,inc_mov_intl,inc_born,inc_other,dec_mov_dom,dec_mov_intl,dec_deaths,dec_other
285005,7119,7608,14727,6750,226,89,36,2,418,31,343,0
285013,7119,7608,14727,6750,226,89,36,2,418,31,343,0
285803,13431,14701,28132,11923,440,93,91,7,634,44,561,11
285854,7278,8025,15303,6341,237,50,49,6,350,26,318,2
285862,6153,6676,12829,5582,203,43,42,1,284,18,243,9
290009,617325,686542,1303867,613342,38303,4664,6762,456,40651,2966,17410,498
292010,162049,185138,347187,168704,10679,1431,1772,73,10526,988,4524,115
292028,29002,32816,61818,31348,1995,211,272,20,2088,99,878,28
292036,39062,43536,82598,39659,2537,246,416,8,2486,147,1195,36
292044,29700,30986,60686,29401,2127,306,341,53,2463,196,780,30
292052,56240,62316,118556,56085,3741,493,733,17,4084,153,1397,44
292061,25648,28624,54272,25645,1495,36,261,58,1575,71,793,17
292079,12879,14021,26900,13316,568,99,67,7,743,76,491,8
292087,10861,12283,23144,11959,552,153,89,18,776,50,508,11
292095,55318,61235,116553,51898,3238,405,602,37,3516,354,1136,55
292109,37361,40963,78324,33208,2373,152,567,32,2501,127,733,24
292117,18177,19617,37794,15840,1003,117,265,12,980,60,454,14
292125,12807,13887,26694,12654,449,204,71,7,784,46,543,10
293202,1470,1585,3055,1305,67,1,8,0,70,3,77,1
293229,1470,1585,3055,1305,67,1,8,0,70,3,77,1
293407,35806,39696,75502,34929,2311,232,395,28,2240,174,1013,25
293423,8538,9604,18142,8231,456,41,91,4,462,41,263,3
293431,10678,11671,22349,10802,791,85,117,10,755,51,321,6
293440,13286,14750,28036,12292,824,57,162,12,774,50,320,9
293458,3304,3671,6975,3604,240,49,25,2,249,32,109,7
293601,21989,23798,45787,20280,1344,137,267,29,1408,96,622,30
293610,3876,4110,7986,3595,204,16,28,3,234,17,105,3
293628,3073,3349,6422,3060,180,27,31,11,196,18,106,9
293636,15040,16339,31379,13625,960,94,208,15,978,61,411,18
293806,1221,1396,2617,1402,73,1,8,0,83,4,86,0
293857,583,687,1270,643,40,0,4,0,39,0,31,0
293865,638,709,1347,759,33,1,4,0,44,4,55,0
294004,5286,5808,11094,5008,181,58,35,6,317,11,212,1
294012,2861,3184,6045,2819,91,52,15,6,193,4,108,1
294021,2425,2624,5049,2189,90,6,20,0,124,7,104,0
294209,45839,50646,96485,42960,2784,253,516,45,2860,205,1207,43
294241,10044,11113,21157,10088,660,73,79,16,660,48,321,9
294250,11216,12478,23694,10796,806,58,149,3,874,60,243,3
294268,16840,18180,35020,14117,866,90,219,19,889,70,362,12
294276,7739,8875,16614,7959,452,32,69,7,437,27,281,19
294403,16610,18191,34801,17741,786,129,77,6,1151,106,761,6
294411,2695,3139,5834,2993,85,9,15,0,147,18,145,1
294420,7563,8234,15797,7360,332,77,40,3,471,52,275,4
294438,2075,2330,4405,2229,72,8,4,2,159,11,106,0
294446,284,305,589,327,18,2,2,0,27,2,16,0
294462,571,623,1194,637,39,10,0,1,48,9,29,1
294471,159,163,322,205,19,4,1,0,21,0,15,0
294497,1400,1357,2757,1610,101,2,7,0,134,3,66,0
294501,371,425,796,509,29,0,1,0,26,0,19,0
294519,221,200,421,283,21,0,3,0,33,0,10,0
294527,568,620,1188,717,42,8,3,0,53,7,38,0
294535,703,795,1498,871,28,9,1,0,32,4,42,0
300004,426826,474367,901193,443306,21144,2361,4516,247,24143,1359,14673,197
302015,167118,185823,352941,177025,7395,1031,2021,110,8184,561,5251,92
302023,21723,24769,46492,21920,1119,44,194,22,1177,50,808,10
302031,27812,30980,58792,27482,1319,134,267,11,1454,87,866,7
302040,12031,13199,25230,11643,480,51,97,3,646,29,445,2
302058,10022,11052,21074,10697,502,83,98,17,740,65,359,2
302066,31676,35640,67316,34789,1592,144,319,5,1928,85,1170,9
302074,12025,13797,25822,14184,733,33,98,7,855,19,504,4
302082,28054,30866,58920,27221,1415,146,268,5,1486,78,911,17
302091,25949,27951,53900,24855,1714,133,327,17,1698,77,564,11
303003,3591,4120,7711,3962,135,17,21,0,194,12,168,0
303046,3591,4120,7711,3962,135,17,21,0,194,12,168,0
303402,10223,11441,21664,10509,548,25,66,4,674,24,467,3
303411,7242,8057,15299,7129,321,15,52,1,382,18,314,1
303437,1708,2052,3760,1858,110,0,7,0,140,1,104,0
303445,1273,1332,2605,1522,117,10,7,3,152,5,49,2
303607,19917,22171,42088,18756,846,60,241,9,1108,55,803,3
303615,5045,5686,10731,5246,248,23,41,4,303,17,209,0
303623,3042,3361,6403,2856,124,15,25,4,170,10,128,2
303666,11830,13124,24954,10654,474,22,175,1,635,28,466,1
303801,22695,24731,47426,21214,1173,139,224,7,1446,84,924,10
303810,2946,3378,6324,3005,219,28,20,0,266,6,123,0
303828,3821,4132,7953,3356,262,4,61,1,232,2,127,0
303836,2494,2541,5035,2596,104,6,20,0,170,7,101,0
303909,3640,3996,7636,3374,143,27,35,1,177,10,134,6
303917,5469,6047,11516,4808,222,55,44,1,300,41,229,3
303925,4325,4637,8962,4075,223,19,44,4,301,18,210,1
304000,18529,20378,38907,20628,1359,207,175,18,1538,91,689,22
304018,9357,10396,19753,11067,735,160,60,14,917,70,383,7
304042,7504,8179,15683,7580,555,33,103,2,491,16,208,15
304069,1668,1803,3471,1981,69,14,12,2,130,5,98,0
304204,15461,17449,32910,18421,814,114,100,12,1015,42,744,5
304212,6306,7162,13468,7381,338,66,49,3,428,26,312,0
304221,1271,1563,2834,1554,119,13,12,2,78,3,75,0
304247,1088,1214,2302,1349,53,14,0,0,67,3,55,3
304271,182,200,382,241,14,0,2,0,14,3,11,0
304280,6614,7310,13924,7896,290,21,37,7,428,7,291,2
