code,totalpop,malepop,femalepop
12105,128248,62555,65693
12106,156333,74621,81712
12202,51426,25015,26411
12203,494207,247663,246544
12204,650635,321442,329193
12205,41127,19757,21370
12206,137149,68821,68328
12207,496714,244970,251744
12208,151086,75310,75776
12210,83577,41168,42409
12211,133797,66410,67387
12212,163859,79565,84294
12213,56546,28397,28149
12215,59657,29458,30199
12216,176000,87138,88862
12217,435373,213557,221816
12218,15126,7831,7295
12219,259611,133077,126534
12220,215130,105388,109742
12221,205052,100307,104745
12222,131157,63810,67347
12223,29008,13720,15288
12224,109118,52937,56181
12225,77409,39370,38039
12226,38730,19647,19083
12227,172764,83310,89454
12228,94253,46714,47539
12229,65125,32832,32293
12230,64576,32670,31906
12231,110400,54430,55970
12232,60950,30103,30847
12233,49729,25398,24331
12234,31895,15199,16696
12235,31137,15315,15822
12236,66100,32614,33486
12237,45034,22633,22401
12238,32441,15727,16714
12239,46410,22761,23649
12322,20566,10144,10422
12329,19010,9310,9700
12342,5276,2639,2637
12347,12469,6328,6141
12349,11892,5980,5912
12403,12934,6392,6542
12409,6107,3046,3061
12410,19836,9665,10171
12421,11758,5785,5973
12422,6300,3007,3293
12423,12532,6199,6333
12424,9478,4697,4781
12426,6023,2984,3039
12427,6704,3330,3374
12441,7799,3794,4005
12443,6346,3048,3298
12463,6204,2999,3205
13000,14246219,6971785,7274434
13100,9953160,4867138,5086022
13101,66199,33096,33103
13102,181918,87077,94841
13103,272662,128925,143737
13104,361634,181433,180201
13105,250030,119943,130087
13106,228390,116409,111981
13107,285203,140042,145161
13108,553358,269746,283612
13109,426403,210317,216086
13110,286468,134972,151496
13111,759409,377559,381850
13112,956608,450508,506100
13113,239119,114704,124415
13114,355333,177783,177550
13115,597566,287911,309655
13116,306106,153069,153037
13117,368290,183240,185050
13118,226482,111556,114926
13119,595000,289631,305369
13120,761587,364342,397245
13121,702718,349870,352848
13122,467614,231724,235890
13123,705063,353281,351782
13201,574087,287920,286167
13202,189141,92553,96588
13203,150700,72234,78466
13204,194959,93530,101429
13205,129492,64739,64753
13206,263172,131035,132137
13207,116665,57976,58689
13208,245536,118319,127217
13209,420962,203834,217128
13210,128991,63073,65918
13211,198491,96402,102089
13212,190383,94562,95821
13213,152162,73855,78307
13214,128224,62514,65710
13215,76587,37168,39419
13218,57166,28487,28679
13219,84141,40753,43388
13220,83051,40313,42738
13221,74730,35615,39115
13222,115428,55325,60103
13223,69076,34219,34857
13224,141236,68595,72641
13225,95171,47523,47648
13227,53476,26991,26485
13228,77236,38113,39123
13229,207589,100683,106906
13303,31161,15783,15378
13305,16064,7851,8213
13307,1761,877,884
13308,4170,2125,2045
13361,6302,3273,3029
13362,304,171,133
13363,2168,1074,1094
13364,1651,846,805
13381,1980,1097,883
13382,291,168,123
13401,6476,3258,3218
13402,168,103,65
13421,2711,1690,1021
14000,9193657,4550704,4642953
14100,3754840,1849234,1905606
14101,296717,152704,144013
14102,252480,128059,124421
14103,108115,54285,53830
14104,154665,79113,75552
14105,198249,98523,99726
14106,203604,100006,103598
14107,163675,80529,83146
14108,192249,93279,98970
14109,363645,180870,182775
14110,280969,136394,144575
14111,209622,101472,108150
14112,239616,115198,124418
14113,180957,88523,92434
14114,120408,58105,62303
14115,119144,57574,61570
14116,149491,72110,77381
14117,307249,148198,159051
14118,213985,104292,109693
14130,1561132,784768,776364
14131,233568,125864,107704
14132,175868,88703,87165
14133,269779,135988,133791
14134,237369,117428,119941
14135,229061,116396,112665
14136,235591,113801,121790
14137,179896,86588,93308
14150,712105,354254,357851
14151,165346,82838,82508
14152,268582,134436,134146
14153,278177,136980,141197
14201,364978,180871,184107
14203,257974,128317,129657
14204,169870,79423,90447
14205,443894,218633,225261
14206,184934,89320,95614
14207,244603,118467,126136
14208,55263,25787,29476
14210,38657,18536,20121
14211,161910,81795,80115
14212,222897,114745,108152
14213,246263,122190,124073
14214,100457,50658,49799
14215,141660,70872,70788
14216,131897,65461,66436
14217,39101,19094,20007
14218,82952,41801,41151
14301,30045,14007,16038
14321,48066,24312,23754
14341,30484,14815,15669
14342,26449,12621,13828
14361,8693,4296,4397
14362,17185,8465,8720
14363,10058,4989,5069
14364,8844,4365,4479
14366,18597,8952,9645
14382,10274,4878,5396
14383,5971,2736,3235
14384,21671,10099,11572
14401,39114,20505,18609
14402,2819,1438,1381
15000,2068476,1006135,1062341
15100,759618,365387,394231
15101,70218,34166,36052
15102,127698,61122,66576
15103,177404,84499,92905
15104,66863,32437,34426
15105,71594,34328,37266
15106,41187,19968,21219
15107,154243,74677,79566
15108,50411,24190,26221
15202,251272,123513,127759
15204,88461,42831,45630
15205,74755,37586,37169
15206,89623,43467,46156
15208,31424,15449,15975
15209,22981,11173,11808
15210,44541,21814,22727
15211,36692,17845,18847
15212,51480,24789,26691
15213,73726,36073,37653
15216,36531,18002,18529
15217,27934,13586,14348
15218,43518,20990,22528
15222,176644,86571,90073
15223,37547,18145,19402
15224,45404,22057,23347
15225,31047,15225,15822
15226,51198,25102,26096
15227,26244,12955,13289
15307,14076,7072,7004
15342,7121,3422,3699
15361,10297,4920,5377
15385,8329,4044,4285
15405,3601,1755,1846
15461,7508,3907,3601
15482,7974,3880,4094
15504,4314,2340,1974
15581,4315,2073,2242
15586,301,162,139
16000,985675,480516,505159
16201,402133,197015,205118
16202,158563,76647,81916
16204,37501,18353,19148
16205,39149,18722,20427
16206,31331,15390,15941
16207,37632,18563,19069
16208,45823,22280,23543
16209,26691,13018,13673
16210,43945,21276,22669
16211,87701,43077,44624
16321,3277,1595,1682
16322,17711,8497,9214
16323,23234,11246,11988
16342,21396,10316,11080
16343,9588,4521,5067
17000,1088221,529800,558421
17201,454071,219718,234353
17202,44249,21342,22907
17203,103597,51041,52556
17204,18072,9123,8949
17205,8528,4270,4258
17206,58691,27777,30914
17207,18854,8983,9871
17209,36009,17480,18529
17210,109063,52916,56147
17211,48473,24083,24390
17212,58594,29921,28673
17324,5873,2913,2960
17361,37264,18257,19007
17365,25384,12206,13178
17384,15914,7727,8187
17386,11073,5263,5810
17407,15253,7449,7804
17461,6532,3124,3408
17463,12727,6207,6520
18000,729386,355517,373869
18201,252068,122722,129346
18202,60569,29650,30919
18204,26542,13100,13442
18205,27765,13238,14527
18206,20187,9604,10583
18207,67223,32848,34375
18208,25747,12223,13524
18209,79324,39133,40191
18210,84792,41014,43778
18322,17992,8749,9243
18382,2285,1255,1030
18404,8949,4293,4656
18423,18550,8986,9564
18442,8284,4175,4109
18481,9136,4729,4407
18483,7274,3635,3639
18501,12699,6163,6536
19000,779912,382881,397031
19201,183630,90111,93519
19202,43647,21067,22580
19204,30310,14533,15777
19205,31295,14950,16345
19206,20045,9794,10251
19207,27782,13907,13875
19208,69250,34215,35035
19209,41826,20382,21444
19210,75545,37298,38247
19211,64272,31280,32992
19212,20873,10470,10403
19213,26992,12965,14027
19214,30118,15025,15093
19346,13367,6496,6871
19364,928,547,381
19365,8921,4424,4497
19366,6329,3162,3167
19368,13186,6383,6803
19384,21799,10841,10958
19422,1443,711,732
19423,3608,1741,1867
19424,9156,5030,4126
19425,5216,2577,2639
19429,2761,1367,1394
19430,26497,13024,13473
19442,603,312,291
19443,513,269,244
20000,1954950,955707,999243
20201,357112,173632,183480
20202,232347,113459,118888
20203,144350,70506,73844
20204,44535,21637,22898
20205,90652,44061,46591
20206,46402,22594,23808
20207,47799,23391,24408
20208,40217,19550,20667
20209,63597,31155,32442
20210,30890,15180,15710
20211,40248,19547,20701
20212,23950,11658,12292
20213,17700,8596,9104
20214,54467,27326,27141
20215,65496,32812,32684
20217,97070,47648,49422
20218,57161,27563,29598
20219,28582,14215,14367
20220,91861,44240,47621
20303,4056,2006,2050
20304,4191,2659,1532
20305,3342,1960,1382
20306,868,444,424
20307,615,318,297
20309,9577,4674,4903
20321,18465,8684,9781
20323,16555,8206,8349
20324,6219,3096,3123
20349,3781,1843,1938
20350,5143,2561,2582
20361,17636,8423,9213
20362,13370,6538,6832
20363,7793,3764,4029
20382,17048,8260,8788
20383,23858,11975,11883
20384,8498,4160,4338
20385,16000,7954,8046
20386,4354,2069,2285
20388,8097,3967,4130
20402,11833,5766,6067
20403,12146,5863,6283
20404,3674,1755,1919
20407,5720,2764,2956
20409,353,177,176
20410,785,394,391
20411,3138,1503,1635
20412,452,219,233
20413,965,464,501
20414,1377,648,729
20415,5518,2712,2806
20416,6214,3110,3104
20417,945,541,404
20422,3653,1794,1859
20423,3541,1752,1789
20425,2351,1083,1268
20429,586,284,302
20430,2983,1467,1516
20432,9528,4612,4916
20446,2315,1112,1203
20448,1497,756,741
20450,8111,3963,4148
20451,4050,1993,2057
20452,3746,1850,1896
20481,8622,4179,4443
20482,9431,4512,4919
20485,8391,4191,4200
20486,2420,1267,1153
20521,12902,6414,6488
20541,10474,4992,5482
20543,6169,3028,3141
20561,10290,5029,5261
20562,3912,1903,2009
20563,2913,1407,1506
20583,6898,3411,3487
20588,2010,996,1014
20590,9668,4779,4889
20602,1467,686,781
21000,1891489,918536,972953
21201,389011,185448,203563
21202,154474,75023,79451
21203,79355,37906,41449
21204,101795,48879,52916
21205,80844,39468,41376
21206,71055,34833,36222
21207,17590,8554,9036
21208,35064,17156,17908
21209,64464,31634,32830
21210,43844,21330,22514
21211,56872,28194,28678
21212,51044,24806,26238
21213,141226,69634,71592
21214,97210,47825,49385
21215,23348,11268,12080
21216,56671,28070,28601
21217,20481,9863,10618
21218,31785,15414,16371
21219,35540,17450,18090
21220,27350,12975,14375
21221,29903,14740,15163
21302,26128,12810,13318
21303,21833,10432,11401
21341,24371,11976,12395
21361,24949,12240,12709
21362,5776,2805,2971
21381,17590,8631,8959
21382,8918,4470,4448
21383,13892,6829,7063
21401,17295,8380,8915
21403,20549,10078,10471
21404,21561,10527,11034
21421,18239,8694,9545
21501,8114,4181,3933
21502,5795,2812,2983
21503,9239,4537,4702
21504,2873,1368,1505
21505,9241,4419,4822
21506,6408,3007,3401
21507,1809,840,969
21521,16503,8269,8234
21604,1480,761,719
22000,3468845,1707440,1761405
22100,659620,320015,339605
22101,238244,114321,123923
22102,205146,100630,104516
22103,216230,105064,111166
22130,765750,379632,386118
22138,591381,293632,297749
22139,150707,74473,76234
22140,23662,11527,12135
22203,179438,88233,91205
22205,31433,14236,17197
22206,103085,50040,53045
22207,119185,59076,60109
22208,61192,28665,32527
22209,91266,44502,46764
22210,237793,117407,120386
22211,160548,80814,79734
22212,130935,64034,66901
22213,111662,56086,55576
22214,134513,65216,69297
22215,81142,41225,39917
22216,86597,43634,42963
22219,17924,8624,9300
22220,47341,23635,23706
22221,55211,28574,26637
22222,25746,12225,13521
22223,28464,14489,13975
22224,45535,22908,22627
22225,44154,21266,22888
22226,40343,19872,20471
22301,10225,4815,5410
22302,6140,3013,3127
22304,7005,3333,3672
22305,5231,2461,2770
22306,6086,2897,3189
22325,34768,16786,17982
22341,31094,15052,16042
22342,43257,21306,21951
22344,17146,9003,8143
22424,27753,13752,14001
22429,5318,2643,2675
22461,15945,7971,7974
23000,7449403,3710417,3738986
23100,2345892,1151603,1194289
23101,172815,83843,88972
23102,90599,43230,47369
23103,160198,78256,81942
23104,153147,75440,77707
23105,145841,73642,72199
23106,107614,54079,53535
23107,109184,53538,55646
23108,109381,52459,56922
23109,68005,33952,34053
23110,216302,106852,109450
23111,132755,66278,66477
23112,132308,66945,65363
23113,176201,85562,90639
23114,247294,120866,126428
23115,161962,77384,84578
23116,162286,79277,83009
23201,360031,180044,179987
23202,377608,190014,187594
23203,368755,178698,190057
23204,123514,60559,62955
23205,113533,57323,56210
23206,303120,149123,153997
23207,182525,90645,91880
23208,57868,28092,29776
23209,71349,36741,34608
23210,152807,79305,73502
23211,412230,216100,196130
23212,186353,94814,91539
23213,166200,83926,82274
23214,74931,36988,37943
23215,69940,34687,35253
23216,57832,28433,29399
23217,94137,45938,48199
23219,144181,72775,71406
23220,129885,63758,66127
23221,40664,20240,20424
23222,112487,58056,54431
23223,92485,46713,45772
23224,82095,40866,41229
23225,72568,38228,34340
23226,82469,40073,42396
23227,48122,25118,23004
23228,47386,23483,23903
23229,68382,34490,33892
23230,94740,46818,47922
23231,56352,29342,27010
23232,57808,28056,29752
23233,68178,34391,33787
23234,85687,42319,43368
23235,42235,21108,21127
23236,61452,31514,29938
23237,86552,42866,43686
23238,63385,30907,32478
23302,43891,21855,22036
23342,15775,8034,7741
23361,23501,11751,11750
23362,34136,16851,17285
23424,32450,16272,16178
23425,36471,18076,18395
23427,4410,2191,2219
23441,27377,13446,13931
23442,48958,24275,24683
23445,14452,6999,7453
23446,20504,10182,10322
23447,42921,21657,21264
23501,41591,21048,20543
23561,3929,2016,1913
23562,2464,1202,1262
23563,835,408,427
24000,1694896,828118,866778
24201,263923,128648,135275
24202,303909,151643,152266
24203,115468,54663,60805
24204,150688,71962,78726
24205,133931,66001,67930
24207,189871,94374,95497
24208,72036,34590,37446
24209,14134,6548,7586
24210,49168,24898,24270
24211,15129,7124,8005
24212,13988,6482,7506
24214,44095,22789,21306
24215,40524,18683,21841
24216,81871,40013,41858
24303,5714,2940,2774
